"geographical_area_membership_hjid","geographical_area_hjid","geographical_area_sid","geographical_area_group_hjid","geographical_area_group_sid","validity_start_date"
25654,23590,256,23501,114,2004-05-01T00:00:00
25473,23575,317,23501,114,2007-01-01T00:00:00
